iter	Passed	Remaining
0	17	17496
1	34	17009
2	52	17283
3	65	16373
4	83	16670
5	101	16752
6	117	16732
7	135	16784
8	152	16759
9	169	16737
10	186	16800
11	205	16894
12	236	17933
13	254	17892
14	271	17820
15	289	17819
16	306	17751
17	325	17736
18	343	17719
19	360	17669
20	378	17634
21	395	17577
22	413	17559
23	425	17312
24	442	17258
25	459	17208
26	476	17162
27	492	17101
28	509	17074
29	527	17046
30	543	16992
31	560	16952
32	578	16942
33	594	16892
34	610	16841
35	627	16792
36	645	16807
37	662	16773
38	678	16726
39	696	16706
40	712	16676
41	729	16638
42	746	16605
43	764	16618
44	782	16606
45	798	16561
46	815	16537
47	833	16521
48	850	16504
49	867	16479
50	883	16448
51	900	16424
52	917	16387
53	933	16360
54	950	16336
55	968	16319
56	984	16286
57	1001	16265
58	1017	16232
59	1034	16205
60	1050	16176
61	1068	16170
62	1085	16138
63	1101	16116
64	1118	16095
65	1136	16078
66	1153	16057
67	1170	16042
68	1187	16018
69	1203	15983
70	1220	15968
71	1237	15945
72	1256	15952
73	1273	15939
74	1290	15911
75	1306	15889
76	1323	15861
77	1339	15834
78	1355	15804
79	1372	15781
80	1388	15759
81	1407	15760
82	1424	15737
83	1441	15720
84	1458	15700
85	1475	15678
86	1491	15648
87	1507	15625
88	1524	15601
89	1541	15582
90	1557	15559
91	1574	15539
92	1590	15516
93	1607	15491
94	1624	15474
95	1641	15455
96	1659	15444
97	1676	15426
98	1692	15407
99	1711	15403
100	1728	15382
101	1745	15365
102	1761	15343
103	1778	15319
104	1794	15296
105	1810	15270
106	1826	15242
107	1843	15226
108	1860	15205
109	1876	15183
110	1893	15167
111	1910	15147
112	1927	15131
113	1944	15110
114	1961	15095
115	1978	15074
116	1994	15052
117	2011	15034
118	2027	15012
119	2044	14995
120	2062	14980
121	2078	14956
122	2094	14934
123	2110	14912
124	2127	14890
125	2143	14869
126	2160	14848
127	2176	14826
128	2192	14803
129	2208	14783
130	2225	14760
131	2240	14735
132	2257	14718
133	2274	14698
134	2290	14675
135	2308	14663
136	2324	14644
137	2341	14628
138	2359	14612
139	2376	14595
140	2393	14581
141	2410	14563
142	2427	14545
143	2444	14529
144	2461	14512
145	2477	14489
146	2493	14470
147	2509	14449
148	2526	14431
149	2543	14412
150	2559	14391
151	2575	14368
152	2591	14348
153	2607	14326
154	2624	14306
155	2640	14285
156	2656	14265
157	2672	14244
158	2688	14220
159	2704	14200
160	2721	14180
161	2737	14161
162	2754	14143
163	2771	14128
164	2788	14112
165	2804	14091
166	2820	14069
167	2836	14046
168	2852	14026
169	2868	14005
170	2884	13984
171	2901	13968
172	2917	13947
173	2933	13925
174	2949	13907
175	2966	13886
176	2982	13866
177	2998	13847
178	3014	13826
179	3030	13804
180	3046	13785
181	3060	13754
182	3075	13732
183	3091	13711
184	3108	13692
185	3124	13672
186	3140	13654
187	3157	13637
188	3173	13615
189	3189	13597
190	3205	13576
191	3221	13555
192	3237	13538
193	3254	13521
194	3270	13502
195	3287	13485
196	3303	13465
197	3319	13444
198	3335	13424
199	3351	13406
200	3367	13386
201	3383	13366
202	3400	13349
203	3415	13328
204	3431	13309
205	3447	13288
206	3463	13268
207	3479	13247
208	3494	13226
209	3510	13206
210	3526	13187
211	3543	13169
212	3559	13150
213	3575	13132
214	3591	13114
215	3607	13093
216	3623	13075
217	3639	13056
218	3655	13037
219	3673	13022
220	3688	13001
221	3704	12983
222	3721	12967
223	3738	12952
224	3755	12935
225	3771	12917
226	3788	12900
227	3804	12880
228	3820	12862
229	3837	12846
230	3853	12828
231	3870	12811
232	3886	12794
233	3902	12776
234	3919	12759
235	3935	12740
236	3952	12725
237	3969	12710
238	3986	12692
239	4002	12673
240	4018	12656
241	4036	12643
242	4055	12632
243	4072	12617
244	4089	12601
245	4105	12582
246	4121	12563
247	4137	12545
248	4153	12527
249	4170	12510
250	4186	12493
251	4202	12474
252	4234	12502
253	4251	12488
254	4269	12473
255	4285	12455
256	4302	12439
257	4318	12421
258	4334	12401
259	4350	12382
260	4366	12364
261	4383	12348
262	4399	12329
263	4415	12310
264	4431	12291
265	4447	12272
266	4463	12255
267	4481	12240
268	4498	12225
269	4515	12207
270	4531	12189
271	4548	12173
272	4564	12155
273	4582	12141
274	4594	12111
275	4603	12076
276	4612	12038
277	4621	12002
278	4629	11964
279	4638	11928
280	4647	11890
281	4656	11855
282	4664	11818
283	4673	11783
284	4682	11748
285	4691	11712
286	4700	11677
287	4709	11643
288	4718	11609
289	4728	11576
290	4737	11542
291	4746	11509
292	4757	11478
293	4766	11445
294	4774	11411
295	4783	11377
296	4791	11342
297	4800	11309
298	4809	11274
299	4818	11242
300	4826	11208
301	4835	11176
302	4844	11143
303	4853	11111
304	4861	11077
305	4870	11045
306	4879	11013
307	4887	10981
308	4896	10949
309	4905	10918
310	4914	10886
311	4923	10856
312	4932	10826
313	4941	10795
314	4950	10766
315	4959	10735
316	4968	10705
317	4977	10674
318	4986	10644
319	4995	10615
320	5004	10585
321	5013	10555
322	5022	10526
323	5032	10499
324	5040	10469
325	5050	10441
326	5059	10412
327	5068	10384
328	5077	10356
329	5086	10327
330	5095	10299
331	5104	10270
332	5114	10244
333	5123	10216
334	5133	10189
335	5147	10172
336	5163	10158
337	5178	10143
338	5194	10128
339	5210	10113
340	5226	10099
341	5241	10085
342	5257	10071
343	5274	10057
344	5290	10043
345	5306	10029
346	5322	10015
347	5337	10000
348	5353	9986
349	5369	9972
350	5385	9958
351	5401	9944
352	5417	9929
353	5435	9918
354	5450	9903
355	5467	9890
356	5483	9876
357	5499	9861
358	5515	9847
359	5530	9832
360	5547	9818
361	5563	9805
362	5579	9790
363	5595	9777
364	5612	9763
365	5628	9750
366	5644	9736
367	5660	9722
368	5677	9707
369	5693	9693
370	5710	9681
371	5727	9669
372	5744	9656
373	5761	9643
374	5778	9631
375	5795	9617
376	5811	9604
377	5828	9590
378	5846	9579
379	5864	9568
380	5881	9555
381	5897	9541
382	5914	9527
383	5930	9513
384	5946	9499
385	5963	9485
386	5979	9472
387	5996	9457
388	6012	9443
389	6028	9429
390	6046	9417
391	6062	9403
392	6079	9390
393	6096	9376
394	6113	9363
395	6128	9348
396	6145	9334
397	6161	9320
398	6178	9306
399	6195	9293
400	6212	9279
401	6229	9266
402	6245	9251
403	6261	9237
404	6279	9225
405	6296	9212
406	6313	9198
407	6329	9184
408	6346	9170
409	6363	9157
410	6379	9142
411	6396	9128
412	6412	9113
413	6429	9100
414	6445	9086
415	6461	9071
416	6477	9056
417	6493	9041
418	6510	9028
419	6527	9014
420	6543	8999
421	6559	8984
422	6575	8969
423	6591	8954
424	6607	8939
425	6624	8925
426	6640	8911
427	6656	8896
428	6673	8882
429	6690	8868
430	6706	8854
431	6724	8841
432	6740	8826
433	6756	8811
434	6771	8795
435	6788	8780
436	6804	8766
437	6820	8751
438	6836	8735
439	6852	8720
440	6868	8706
441	6885	8692
442	6904	8681
443	6920	8666
444	6937	8652
445	6953	8637
446	6969	8621
447	6985	8607
448	7002	8592
449	7018	8577
450	7034	8562
451	7050	8547
452	7067	8533
453	7082	8517
454	7098	8502
455	7114	8487
456	7130	8471
457	7145	8456
458	7162	8442
459	7178	8426
460	7195	8412
461	7210	8397
462	7227	8382
463	7243	8367
464	7259	8352
465	7275	8337
466	7292	8322
467	7307	8306
468	7324	8292
469	7340	8277
470	7357	8263
471	7373	8248
472	7389	8233
473	7406	8218
474	7422	8203
475	7439	8189
476	7456	8175
477	7472	8160
478	7488	8145
479	7504	8130
480	7520	8115
481	7537	8099
482	7553	8085
483	7569	8070
484	7586	8055
485	7603	8041
486	7620	8027
487	7637	8012
488	7653	7998
489	7670	7983
490	7686	7967
491	7702	7953
492	7719	7938
493	7735	7923
494	7752	7909
495	7769	7894
496	7785	7879
497	7801	7864
498	7817	7849
499	7837	7837
500	7854	7822
501	7872	7809
502	7889	7794
503	7905	7780
504	7922	7765
505	7938	7750
506	7955	7736
507	7972	7721
508	7991	7709
509	8008	7694
510	8024	7678
511	8039	7662
512	8055	7647
513	8071	7632
514	8087	7616
515	8103	7601
516	8119	7585
517	8135	7570
518	8151	7554
519	8167	7539
520	8184	7524
521	8199	7508
522	8214	7492
523	8230	7476
524	8247	7461
525	8263	7446
526	8279	7431
527	8294	7414
528	8310	7399
529	8326	7384
530	8342	7368
531	8358	7353
532	8375	7338
533	8391	7323
534	8406	7306
535	8422	7290
536	8437	7275
537	8453	7259
538	8468	7243
539	8484	7227
540	8501	7212
541	8517	7197
542	8533	7181
543	8548	7165
544	8563	7149
545	8579	7133
546	8594	7117
547	8609	7101
548	8628	7088
549	8643	7072
550	8659	7056
551	8675	7040
552	8691	7025
553	8708	7011
554	8726	6996
555	8742	6981
556	8757	6965
557	8773	6949
558	8788	6933
559	8804	6917
560	8820	6902
561	8836	6886
562	8851	6870
563	8866	6854
564	8882	6838
565	8897	6822
566	8913	6806
567	8929	6791
568	8944	6775
569	8960	6759
570	8976	6744
571	8994	6730
572	9010	6714
573	9026	6698
574	9041	6682
575	9056	6666
576	9071	6650
577	9087	6635
578	9104	6619
579	9119	6603
580	9134	6587
581	9150	6572
582	9166	6556
583	9181	6540
584	9197	6524
585	9212	6508
586	9228	6493
587	9244	6477
588	9260	6461
589	9276	6446
590	9292	6431
591	9309	6415
592	9324	6399
593	9340	6384
594	9356	6368
595	9373	6353
596	9389	6338
597	9405	6323
598	9421	6307
599	9437	6291
600	9453	6276
601	9469	6260
602	9485	6244
603	9500	6229
604	9516	6212
605	9531	6196
606	9548	6181
607	9563	6166
608	9578	6149
609	9594	6134
610	9610	6118
611	9626	6102
612	9642	6087
613	9658	6071
614	9673	6055
615	9689	6040
616	9706	6025
617	9722	6009
618	9739	5994
619	9754	5978
620	9770	5963
621	9787	5948
622	9804	5933
623	9821	5917
624	9837	5902
625	9853	5886
626	9868	5870
627	9884	5855
628	9901	5839
629	9919	5825
630	9935	5810
631	9950	5793
632	9966	5778
633	9982	5763
634	9998	5746
635	10014	5731
636	10029	5715
637	10045	5699
638	10061	5684
639	10077	5668
640	10093	5652
641	10108	5637
642	10124	5621
643	10140	5605
644	10156	5590
645	10172	5574
646	10189	5559
647	10205	5543
648	10221	5528
649	10239	5513
650	10255	5497
651	10271	5482
652	10287	5466
653	10303	5451
654	10318	5435
655	10334	5419
656	10349	5403
657	10365	5387
658	10380	5371
659	10395	5355
660	10411	5339
661	10426	5323
662	10442	5307
663	10457	5291
664	10472	5275
665	10487	5259
666	10502	5243
667	10518	5227
668	10534	5212
669	10549	5196
670	10564	5180
671	10580	5164
672	10595	5148
673	10611	5132
674	10625	5116
675	10641	5100
676	10656	5084
677	10671	5068
678	10688	5052
679	10703	5037
680	10719	5021
681	10734	5005
682	10750	4989
683	10765	4973
684	10781	4957
685	10796	4941
686	10812	4926
687	10827	4910
688	10843	4894
689	10859	4878
690	10875	4863
691	10891	4847
692	10906	4831
693	10924	4816
694	10939	4800
695	10954	4784
696	10969	4768
697	10985	4753
698	11001	4737
699	11016	4721
700	11030	4705
701	11046	4689
702	11062	4673
703	11077	4657
704	11092	4641
705	11107	4625
706	11123	4609
707	11138	4593
708	11153	4577
709	11168	4561
710	11188	4547
711	11210	4534
712	11231	4520
713	11248	4505
714	11264	4490
715	11281	4474
716	11297	4458
717	11312	4443
718	11328	4427
719	11343	4411
720	11358	4395
721	11373	4379
722	11389	4363
723	11404	4347
724	11419	4331
725	11434	4315
726	11450	4299
727	11465	4283
728	11481	4268
729	11495	4251
730	11510	4235
731	11526	4219
732	11541	4203
733	11557	4188
734	11573	4172
735	11588	4156
736	11603	4140
737	11617	4124
738	11633	4108
739	11648	4092
740	11663	4076
741	11679	4060
742	11695	4045
743	11711	4029
744	11727	4013
745	11742	3998
746	11757	3982
747	11773	3966
748	11788	3950
749	11805	3935
750	11820	3919
751	11836	3903
752	11852	3887
753	11879	3875
754	11906	3863
755	11926	3849
756	11943	3833
757	11962	3819
758	11979	3803
759	11994	3787
760	12010	3772
761	12026	3756
762	12042	3740
763	12057	3724
764	12073	3708
765	12088	3692
766	12104	3676
767	12119	3661
768	12135	3645
769	12150	3629
770	12165	3613
771	12180	3597
772	12195	3581
773	12212	3565
774	12227	3549
775	12243	3534
776	12258	3518
777	12274	3502
778	12290	3486
779	12306	3470
780	12321	3455
781	12337	3439
782	12352	3423
783	12368	3407
784	12383	3391
785	12399	3375
786	12414	3359
787	12429	3344
788	12445	3328
789	12461	3312
790	12476	3296
791	12492	3280
792	12507	3264
793	12522	3248
794	12538	3233
795	12553	3217
796	12568	3201
797	12583	3185
798	12598	3169
799	12613	3153
800	12628	3137
801	12643	3121
802	12660	3105
803	12675	3089
804	12690	3073
805	12705	3058
806	12721	3042
807	12737	3026
808	12752	3010
809	12768	2995
810	12783	2979
811	12799	2963
812	12814	2947
813	12829	2931
814	12845	2915
815	12859	2899
816	12874	2883
817	12890	2867
818	12905	2852
819	12920	2836
820	12936	2820
821	12960	2806
822	12981	2791
823	13001	2776
824	13017	2761
825	13033	2745
826	13049	2729
827	13064	2713
828	13078	2697
829	13093	2681
830	13109	2666
831	13124	2650
832	13139	2634
833	13154	2618
834	13169	2602
835	13185	2586
836	13200	2570
837	13215	2554
838	13231	2539
839	13246	2523
840	13262	2507
841	13277	2491
842	13292	2475
843	13307	2459
844	13322	2443
845	13337	2427
846	13353	2412
847	13368	2396
848	13384	2380
849	13399	2364
850	13414	2348
851	13429	2332
852	13444	2316
853	13459	2301
854	13475	2285
855	13491	2269
856	13506	2253
857	13521	2237
858	13537	2222
859	13552	2206
860	13568	2190
861	13583	2174
862	13600	2159
863	13616	2143
864	13631	2127
865	13647	2111
866	13663	2095
867	13678	2080
868	13694	2064
869	13710	2048
870	13725	2032
871	13741	2017
872	13757	2001
873	13772	1985
874	13788	1969
875	13803	1953
876	13819	1938
877	13834	1922
878	13850	1906
879	13866	1890
880	13882	1875
881	13897	1859
882	13913	1843
883	13928	1827
884	13944	1812
885	13960	1796
886	13976	1780
887	13992	1764
888	14008	1749
889	14023	1733
890	14038	1717
891	14054	1701
892	14069	1685
893	14084	1670
894	14100	1654
895	14115	1638
896	14130	1622
897	14146	1606
898	14162	1591
899	14177	1575
900	14194	1559
901	14209	1543
902	14225	1528
903	14240	1512
904	14256	1496
905	14272	1480
906	14287	1465
907	14303	1449
908	14319	1433
909	14334	1417
910	14349	1401
911	14364	1386
912	14380	1370
913	14396	1354
914	14411	1338
915	14426	1322
916	14442	1307
917	14457	1291
918	14473	1275
919	14488	1259
920	14503	1244
921	14518	1228
922	14534	1212
923	14549	1196
924	14564	1180
925	14579	1165
926	14593	1149
927	14609	1133
928	14624	1117
929	14641	1102
930	14656	1086
931	14671	1070
932	14686	1054
933	14702	1038
934	14718	1023
935	14733	1007
936	14749	991
937	14764	975
938	14779	960
939	14795	944
940	14810	928
941	14825	912
942	14841	897
943	14856	881
944	14871	865
945	14886	849
946	14902	834
947	14917	818
948	14932	802
949	14947	786
950	14963	770
951	14979	755
952	14994	739
953	15010	723
954	15025	707
955	15040	692
956	15055	676
957	15070	660
958	15086	644
959	15102	629
960	15117	613
961	15132	597
962	15147	582
963	15163	566
964	15179	550
965	15194	534
966	15210	519
967	15226	503
968	15241	487
969	15256	471
970	15271	456
971	15287	440
972	15302	424
973	15317	408
974	15333	393
975	15348	377
976	15364	361
977	15379	345
978	15395	330
979	15410	314
980	15425	298
981	15441	283
982	15456	267
983	15472	251
984	15487	235
985	15503	220
986	15520	204
987	15537	188
988	15553	172
989	15569	157
990	15585	141
991	15600	125
992	15616	110
993	15633	94
994	15648	78
995	15664	62
996	15680	47
997	15696	31
998	15712	15
999	15729	0
